"MD_EARN_WNE_P6","HIGHDEG","REGION","UGDS_WHITE","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","UGDS_NHPI","C150_4","C150_L4","UGDS","UGDS_MEN","NPT4_PUB","NPT4_PRIV","PCIP04","PCIP05","PCIP09","PCIP11","PCIP12","PCIP14","PCIP23","PCIP26","PCIP27","PCIP38","PCIP42","PCIP45","PCIP50","PCIP51","PCIP52","PCIP54","ADM_RATE","SAT_AVG"
55111,NA,"Far West",0.1975,0.0494,0.4512,11.37,0.0046,0.0184,0.5222,NA,871,0.3364,NA,25610,0,0,0.081,0.0405,0,0,0.0202,0.1579,0,0,0.1377,0.1012,0.0445,0,0.2065,0.0081,0.9666,983
47008,NA,"Far West",0.4911,0.0518,0.1435,15.18,0,0.0026,0.8547,NA,1910,0.423,NA,31842,0,0.0079,0,0.0039,0,0,0.0354,0.1238,0.0432,0.0138,0.0452,0.332,0.0982,0,0,0.0413,0.373,1368
44072,NA,"Far West",0.2907,0.0435,0.0565,25.65,0.0111,0.0019,0.5956,NA,1080,0.3407,NA,42253,0.0647,0,0,0,0,0,0,0,0,0,0,0,0.9353,0,0,0,0.9441,1158
36584,NA,"Far West",0.3419,0.0781,0.3176,3.9,0.0108,0.0162,0.4425,NA,743,0.428,NA,22440,0,0,0,0,0,0,0.0132,0,0,0,0.1325,0.1523,0,0,0.2053,0,0.2945,1022
48131,NA,"Far West",0.2293,0.0732,0.262,19.46,0.0039,0.0125,0.5498,NA,1038,0.3882,NA,21968,0,0,0.0632,0,0,0.0026,0.0263,0.0763,0.0026,0,0.0211,0.0105,0.0526,0.4842,0.0947,0.0132,0.4944,1080
58630,NA,"Far West",0.2243,0.0322,0.2095,37.6,0.0038,0.0046,0.7309,NA,3665,0.4748,NA,25973,0,0.0128,0.0325,0.0383,0,0.1021,0.0139,0.123,0.0128,0.0023,0.0557,0.0545,0.0336,0.0568,0.2007,0.0093,0.6348,1240
61345,NA,"Far West",0.4913,0.0484,0.1365,10.14,0.0036,0.0022,0.8323,NA,3619,0.4078,NA,34701,0,0.0172,0.2189,0.0021,0,0,0.0193,0.0311,0.0043,0.0343,0.0676,0.1073,0.0515,0,0.2768,0.0054,0.3565,1330
48004,NA,"Far West",0.5137,0.0185,0.269,7.44,0.0042,0.0096,0.7733,NA,3130,0.3524,NA,32319,0,0,0.0257,0.0056,0,0.0246,0.0112,0.0447,0.0034,0.0067,0.0727,0.0749,0.0369,0.3199,0.2125,0.0034,0.6893,1240
44630,NA,"Far West",0.3422,0.0962,0.1769,14.91,0.0039,0.0026,0.9373,NA,1549,0.4855,NA,13622,0,0.0263,0.0382,0.1122,0,0.0024,0.031,0.1527,0.0979,0.0048,0.0573,0.21,0.0239,0,0,0.0119,0.0761,1468
53517,NA,"Far West",0.4109,0.0058,0.3328,6.04,0.0061,0.0407,0.7393,NA,2945,0.419,NA,25727,0,0.0127,0,0.0035,0,0,0.0348,0.0556,0.0127,0.0116,0.0603,0.0626,0.0568,0.0649,0.4264,0.0093,0.7475,1189
